STEP,MS,DUTY,TARGET,ACTUAL,SAMPLE,PROPOR,INTEG,DIFFER,TOTAL,DELTA,NEXT
0,127,0,2475,497,497,1978,1978,0,2175,65,65
1,126,65,2475,2601,2601,-126,1852,2104,1630,49,100
2,127,100,2475,3788,3788,-1313,539,1187,290,8,100
3,127,100,2475,3789,3789,-1314,-775,1,-906,-27,73
4,127,73,2475,2921,2921,-446,-1221,-868,-1179,-35,38
5,127,38,2475,1760,1760,715,-506,-1161,-319,-9,29
6,127,29,2475,1502,1502,973,467,-258,589,17,46
7,127,46,2475,2029,2029,446,913,527,905,27,73
8,127,73,2475,2886,2886,-411,502,857,376,11,84
9,127,84,2475,3173,3173,-698,-196,287,-293,-8,76
10,127,76,2475,2925,2925,-450,-646,-248,-667,-20,56
11,127,56,2475,2356,2356,119,-527,-569,-460,-13,43
12,127,43,2475,1922,1922,553,26,-434,124,3,46
13,127,46,2475,2008,2008,467,493,86,531,16,62
14,127,62,2475,2529,2529,-54,439,521,382,11,73
15,127,73,2475,2836,2836,-361,78,307,12,0,73
16,127,73,2475,2911,2911,-436,-358,75,-408,-12,61
17,127,61,2475,2510,2510,-35,-393,-401,-356,-10,51
18,127,51,2475,2140,2140,335,-58,-370,12,0,51
19,127,51,2475,2116,2116,359,301,-24,338,10,61
20,127,61,2475,2437,2437,38,339,321,310,9,70
21,127,70,2475,2696,2696,-221,118,259,71,2,72
22,127,72,2475,2821,2821,-346,-228,125,-274,-8,64
23,127,64,2475,2561,2561,-86,-314,-260,-296,-8,56
24,127,56,2475,2349,2349,126,-188,-212,-155,-4,52
25,127,52,2475,2222,2222,253,65,-127,102,3,55
26,127,55,2475,2276,2276,199,264,54,278,8,63
27,127,63,2475,2586,2586,-111,153,310,111,3,66
28,127,66,2475,2664,2664,-189,-36,78,-61,-1,65
29,127,65,2475,2592,2592,-117,-153,-72,-157,-4,61
30,127,61,2475,2478,2478,-3,-156,-114,-145,-4,57
31,127,57,2475,2376,2376,99,-57,-102,-38,-1,56
32,127,56,2475,2318,2318,157,100,-58,120,3,59
33,127,59,2475,2430,2430,45,145,112,138,4,63
34,127,63,2475,2566,2566,-91,54,136,32,0,63
35,126,63,2475,2576,2576,-101,-47,10,-58,-1,62
36,127,62,2475,2511,2511,-36,-83,-65,-80,-2,60
37,127,60,2475,2332,2332,143,60,-179,91,2,62
38,127,62,2475,2536,2536,-61,-1,204,-27,0,62
39,128,62,2475,2511,2511,-36,-37,-25,-38,-1,61
40,127,61,2475,2519,2519,-44,-81,8,-85,-2,59
41,127,59,2475,2465,2465,10,-71,-54,-65,-1,58
42,127,58,2475,2386,2386,89,18,-79,33,1,59
43,127,59,2475,2423,2423,52,70,37,72,2,61
44,127,61,2475,2461,2461,14,84,38,82,2,63
45,127,63,2475,2547,2547,-72,12,86,-3,0,63
46,127,63,2475,2569,2569,-94,-82,22,-93,-2,61
47,127,61,2475,2532,2532,-57,-139,-37,-141,-4,57
48,127,57,2475,2424,2424,51,-88,-108,-73,-2,55
49,127,55,2475,2289,2289,186,98,-135,129,3,58
50,126,58,2475,2389,2389,86,184,100,182,5,63
51,127,63,2475,2515,2515,-40,144,126,128,3,66
52,127,66,2475,2666,2666,-191,-47,151,-81,-2,64
53,127,64,2475,2565,2565,-90,-137,-101,-136,-4,60
54,127,60,2475,2377,2377,98,-39,-188,-12,0,60
55,127,60,2475,2379,2379,96,57,2,66,2,62
56,127,62,2475,2514,2514,-39,18,135,2,0,62
57,126,62,2475,2507,2507,-32,-14,-7,-17,0,62
58,127,62,2475,2506,2506,-31,-45,-1,-48,-1,61
59,127,61,2475,2454,2454,21,-24,-52,-17,0,61
60,127,61,2475,2438,2438,37,13,-16,17,0,61
61,127,61,2475,2464,2464,11,24,26,23,0,61
62,127,61,2475,2533,2533,-58,-34,69,-45,-1,60
63,126,60,2475,2381,2381,94,60,-152,84,2,62
64,127,62,2475,2511,2511,-36,24,130,8,0,62
65,127,62,2475,2492,2492,-17,7,-19,7,0,62
66,127,62,2475,2547,2547,-72,-65,55,-77,-2,60
67,127,60,2475,2375,2375,100,35,-172,62,1,61
68,127,61,2475,2489,2489,-14,21,114,9,0,61
69,126,61,2475,2458,2458,17,38,-31,42,1,62
70,127,62,2475,2528,2528,-53,-15,70,-27,0,62
71,127,62,2475,2507,2507,-32,-47,-21,-48,-1,61
72,127,61,2475,2513,2513,-38,-85,6,-88,-2,59
73,128,59,2475,2466,2466,9,-76,-47,-72,-2,57
74,127,57,2475,2356,2356,119,43,-110,65,1,58
75,127,58,2475,2393,2393,82,125,37,130,3,61
76,127,61,2475,2442,2442,33,158,49,157,4,65
77,127,65,2475,2591,2591,-116,42,149,17,0,65
78,127,65,2475,2593,2593,-118,-76,2,-87,-2,63
79,127,63,2475,2587,2587,-112,-188,-6,-199,-6,57
80,127,57,2475,2325,2325,150,-38,-262,3,0,57
81,127,57,2475,2422,2422,53,15,97,11,0,57
82,127,57,2475,2423,2423,52,67,1,72,2,59
83,127,59,2475,2445,2445,30,97,22,98,2,61
84,127,61,2475,2481,2481,-6,91,36,88,2,63
85,126,63,2475,2557,2557,-82,9,76,-6,0,63
86,127,63,2475,2562,2562,-87,-78,5,-86,-2,61
87,127,61,2475,2504,2504,-29,-107,-58,-104,-3,58
88,127,58,2475,2444,2444,31,-76,-60,-67,-2,56
89,127,56,2475,2313,2313,162,86,-131,115,3,59
90,127,59,2475,2447,2447,28,114,134,103,3,62
91,127,62,2475,2539,2539,-64,50,92,35,1,63
92,127,63,2475,2548,2548,-73,-23,9,-30,0,63
93,127,63,2475,2493,2493,-18,-41,-55,-37,-1,62
