pi@zincm:~/src/com-diag-diminuto/Diminuto $ sudo su
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# . out/host/bin/setup
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# pidtest
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
     0  391     50  10000  13630  13630  -3630  -3630      0  -4537    -22     28
     1  391     28  10000   8438   8438   1562  -2068  -5192   -380     -1     27
     2  391     27  10000   7755   7755   2245    177   -683    908      4     31
     3  391     31  10000   8807   8807   1193   1370   1052   1405      7     38
     4  391     38  10000  10651  10651   -651    719   1844     96      0     38
     5  391     38  10000  10678  10678   -678     41     27   -134      0     38
     6  392     38  10000  10615  10615   -615   -574    -63   -712     -3     35
     7  391     35  10000  10112  10112   -112   -686   -503   -589     -2     33
     8  391     33  10000   9393   9393    607    -79   -719    251      1     34
     9  391     34  10000   9662   9662    338    259    269    276      1     35
    10  391     35  10000  10135  10135   -135    124    473    -27      0     35
    11  391     35  10000  10108  10108   -108     16    -27     -5      0     35
    12  391     35  10000  10096  10096    -96    -80    -12   -101      0     35
    13  391     35  10000  10096  10096    -96   -176      0   -200     -1     34
    14  391     34  10000   9739   9739    261     85   -357    239      1     35
    15  391     35  10000  10108  10108   -108    -23    369   -142      0     35
    16  391     35  10000  10095  10095    -95   -118    -13   -138      0     35
    17  391     35  10000  10113  10113   -113   -231     18   -263     -1     34
    18  391     34  10000   9675   9675    325     94   -438    284      1     35
    19  391     35  10000  10098  10098    -98     -4    423   -133      0     35
    20  391     35  10000  10119  10119   -119   -123     21   -157      0     35
    21  391     35  10000  10039  10039    -39   -162    -80   -151      0     35
    22  391     35  10000  10089  10089    -89   -251     50   -285     -1     34
    23  391     34  10000   9608   9608    392    141   -481    359      1     35
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
    24  391     35  10000  10089  10089    -89     52    481    -90      0     35
    25  391     35  10000  10098  10098    -98    -46      9    -72      0     35
    26  391     35  10000  10107  10107   -107   -153      9   -181      0     35
    27  391     35  10000  10119  10119   -119   -272     12   -304     -1     34
    28  391     34  10000   9631   9631    369     97   -488    311      1     35
